,GEOID,NAME,RiskFactor1_percent,IncomePoverty_ratio,Total,Occupants_Above1,Occupants_Above1_point5,Married_Above65,NoSpouse_MaleHH_Above65,NoSpouse_FemaleHH_Above65,Living_Alone,RiskFactor3_percent,RiskFactor2_percent,LanguageBarrier_Total,RiskFactor4a_percent,EducationalBarrier_Total,RiskFactor4b_percent,Above16_Unemployed_Total,RiskFactor5_percent,Disability_Total,RiskFactor6_percent,Total_Uninsured,RiskFactor7_percent,pop_64above_total,RiskFactor8_percent
892,17031380500,"Census Tract 3805, Cook County, Illinois",70.7,0.935382514,328,7,0,0,4,14,103,2.134146341,36.8902439,0,0,81,15.39923954,85,14.9,108,12.6,52,6.1,4,0.46728972
893,17031381400,"Census Tract 3814, Cook County, Illinois",36.6,1.956284153,689,14,0,21,0,29,392,2.031930334,64.1509434,0,0,78,7.878787879,73,7.1,225,15.9,293,20.7,40,2.826855124
894,17031381800,"Census Tract 3818, Cook County, Illinois",35.4,1.85942623,648,0,14,32,0,10,337,2.160493827,58.48765432,28,4.3,96,9.384164223,41,3.8,232,18.7,201,16.2,73,5.830670927
895,17031390500,"Census Tract 3905, Cook County, Illinois",28.5,2.114845173,807,0,6,55,0,20,439,0.743494424,63.69268897,36,4.5,37,2.857142857,34,2.5,233,14.9,76,4.9,72,4.600638978
896,17031390700,"Census Tract 3907, Cook County, Illinois",26.7,2.786566485,3345,0,16,263,0,33,1991,0.478325859,68.37070254,49,1.5,189,3.825136612,211,4.3,631,11.8,217,4.1,480,8.935219657
897,17031410500,"Census Tract 4105, Cook County, Illinois",35.9,2.462613843,1330,0,0,32,0,22,726,0,58.64661654,6,0.5,88,3.907637655,14,0.6,308,12.2,172,6.8,71,2.811881188
898,17031411200,"Census Tract 4112, Cook County, Illinois",22.6,4.033287796,738,10,19,64,0,16,274,3.929539295,47.96747967,43,5.8,35,2.575423105,43,3.1,106,6.3,20,1.2,90,5.328596803
899,17031420700,"Census Tract 4207, Cook County, Illinois",60.5,0.887887067,1167,9,20,23,20,51,583,2.485004284,58.01199657,60,5.1,324,16.49694501,457,22.3,453,16.9,268,10,131,4.899027674
900,17031450300,"Census Tract 4503, Cook County, Illinois",21.5,2.272131148,1400,47,0,157,0,164,478,3.357142857,57.07142857,0,0,399,13.35341365,238,7.8,649,17.4,264,7.1,216,5.786230913
901,17031500300,"Census Tract 5003, Cook County, Illinois",30.8,1.937295082,798,1,0,28,16,2,401,0.125313283,56.01503759,49,6.1,190,14.11589896,188,13.7,189,11.8,314,19.6,65,4.067584481
902,17031520500,"Census Tract 5205, Cook County, Illinois",12.7,2.906147541,1578,56,0,162,11,53,278,3.548795944,31.9391635,110,7,843,22.26624406,186,4.7,447,8.5,85,1.6,209,3.962085308
903,17031530400,"Census Tract 5304, Cook County, Illinois",24.4,2.818897996,741,17,0,81,27,31,167,2.294197031,41.29554656,13,1.8,203,12.12664277,132,7.6,382,17.5,164,7.5,153,7.008703619
904,17031250400,"Census Tract 2504, Cook County, Illinois",27.3,2.106602914,1827,0,0,185,0,80,516,0,42.74767378,61,3.3,610,16.11624835,332,8.6,959,20.1,309,6.5,272,5.703501782
905,17031251600,"Census Tract 2516, Cook County, Illinois",43.8,1.366120219,1138,20,13,52,0,146,266,2.899824253,40.77328647,11,1,637,21.93526171,110,3.5,758,17.8,563,13.2,122,2.863177658
906,17031251800,"Census Tract 2518, Cook County, Illinois",50.5,1.121675774,1699,68,35,28,15,165,537,6.062389641,43.84932313,56,3.3,716,20.38144036,433,11.6,798,15.1,681,12.8,129,2.433962264
907,17031260900,"Census Tract 2609, Cook County, Illinois",51.1,1.125409836,378,7,0,0,17,41,125,1.851851852,48.41269841,0,0,252,22.80542986,123,10.9,270,19.7,155,11.3,17,1.163586585
908,17031241600,"Census Tract 2416, Cook County, Illinois",4.2,4.627276867,1604,24,9,52,9,19,429,2.057356608,31.73316708,34,2.1,185,5.662687481,85,2.6,155,4.5,213,6.1,51,1.465517241
909,17031030300,"Census Tract 303, Cook County, Illinois",26.7,1.871994536,1513,82,23,80,14,7,551,6.939854594,43.09319233,240,15.9,405,13.94148021,91,3.1,433,11.8,476,13,167,4.542981502
910,17031031200,"Census Tract 312, Cook County, Illinois",33,1.884744991,2846,123,52,66,39,117,1379,6.148981026,56.25439213,516,18.1,1264,24.96543551,122,2.4,1003,16.5,888,14.6,149,2.343135713
911,17031410900,"Census Tract 4109, Cook County, Illinois",24.2,2.748315118,1845,13,31,133,0,44,1011,2.384823848,64.3902439,58,3.1,113,3.895208549,124,4.2,296,8.9,134,4,239,7.151406344
912,17031430300,"Census Tract 4303, Cook County, Illinois",61.3,0.825728597,962,9,5,16,0,9,368,1.455301455,40.85239085,7,0.7,114,7.8242965,234,15.5,339,13.9,118,4.8,32,1.306122449
913,17031170600,"Census Tract 1706, Cook County, Illinois",17.5,3.154417122,967,0,0,104,18,38,299,0,47.4663909,148,15.3,178,8.917835671,49,2.4,225,9.1,151,6.1,154,6.192199437
914,17031600900,"Census Tract 6009, Cook County, Illinois",21.1,2.63151184,1436,10,12,104,0,45,428,1.532033426,40.1810585,133,9.3,313,10.68259386,131,4.3,315,8.9,376,10.6,188,5.297266836
915,17031630300,"Census Tract 6303, Cook County, Illinois",20.8,2.330783242,1316,50,9,91,51,35,177,4.483282675,26.89969605,237,18,991,26.21693122,366,8.8,337,6.1,950,17.3,247,4.504833121
